,path,emotion
0,data/training/Actor_16/03-02-03-02-01-01-16_happy.wav,happy
1,data/training/Actor_16/16_02_02_01_kids-talking_happy.wav,happy
2,data/training/Actor_16/16_02_02_02_kids-talking_happy.wav,happy
3,data/training/Actor_16/03-02-03-01-01-01-16_happy.wav,happy
4,data/training/Actor_16/16_02_02_02_dogs-sitting_happy.wav,happy
5,data/training/Actor_16/03-02-03-01-02-02-16_happy.wav,happy
6,data/training/Actor_16/03-02-03-02-02-02-16_happy.wav,happy
7,data/training/Actor_16/16_02_02_01_dogs-sitting_happy.wav,happy
8,data/training/Actor_16/16_02_01_02_kids-talking_happy.wav,happy
9,data/training/Actor_16/03-02-03-01-02-01-16_happy.wav,happy
10,data/training/Actor_16/16_02_01_01_kids-talking_happy.wav,happy
11,data/training/Actor_16/03-02-03-02-02-01-16_happy.wav,happy
12,data/training/Actor_16/16_02_01_01_dogs-sitting_happy.wav,happy
13,data/training/Actor_16/03-02-03-02-01-02-16_happy.wav,happy
14,data/training/Actor_16/16_02_01_02_dogs-sitting_happy.wav,happy
15,data/training/Actor_16/03-02-03-01-01-02-16_happy.wav,happy
16,data/training/Actor_11/03-02-03-02-02-02-11_happy.wav,happy
17,data/training/Actor_11/11_01_01_02_kids-talking_happy.wav,happy
18,data/training/Actor_11/11_02_01_01_kids-talking_happy.wav,happy
19,data/training/Actor_11/03-02-03-01-02-02-11_happy.wav,happy
20,data/training/Actor_11/11_02_01_02_kids-talking_happy.wav,happy
21,data/training/Actor_11/11_01_01_01_kids-talking_happy.wav,happy
22,data/training/Actor_11/03-02-03-01-01-01-11_happy.wav,happy
23,data/training/Actor_11/11_01_01_01_dogs-sitting_happy.wav,happy
24,data/training/Actor_11/11_02_01_02_dogs-sitting_happy.wav,happy
25,data/training/Actor_11/11_02_01_01_dogs-sitting_happy.wav,happy
26,data/training/Actor_11/11_01_01_02_dogs-sitting_happy.wav,happy
27,data/training/Actor_11/03-02-03-02-01-01-11_happy.wav,happy
28,data/training/Actor_11/11_01_02_01_kids-talking_happy.wav,happy
29,data/training/Actor_11/11_02_02_02_kids-talking_happy.wav,happy
30,data/training/Actor_11/03-02-03-01-01-02-11_happy.wav,happy
31,data/training/Actor_11/03-02-03-02-01-02-11_happy.wav,happy
32,data/training/Actor_11/11_02_02_01_kids-talking_happy.wav,happy
33,data/training/Actor_11/11_01_02_02_kids-talking_happy.wav,happy
34,data/training/Actor_11/03-02-03-02-02-01-11_happy.wav,happy
35,data/training/Actor_11/11_01_02_02_dogs-sitting_happy.wav,happy
36,data/training/Actor_11/11_02_02_01_dogs-sitting_happy.wav,happy
37,data/training/Actor_11/11_02_02_02_dogs-sitting_happy.wav,happy
38,data/training/Actor_11/11_01_02_01_dogs-sitting_happy.wav,happy
39,data/training/Actor_11/03-02-03-01-02-01-11_happy.wav,happy
40,data/training/Actor_18/18_01_02_01_dogs-sitting_happy.wav,happy
41,data/training/Actor_18/18_01_02_02_dogs-sitting_happy.wav,happy
42,data/training/Actor_18/18_01_02_02_kids-talking_happy.wav,happy
43,data/training/Actor_18/18_01_02_01_kids-talking_happy.wav,happy
44,data/training/Actor_18/18_01_01_02_dogs-sitting_happy.wav,happy
45,data/training/Actor_18/18_01_01_01_dogs-sitting_happy.wav,happy
46,data/training/Actor_18/18_01_01_01_kids-talking_happy.wav,happy
47,data/training/Actor_18/18_01_01_02_kids-talking_happy.wav,happy
48,data/training/Actor_20/03-02-03-02-01-02-20_happy.wav,happy
49,data/training/Actor_20/20_01_02_02_kids-talking_happy.wav,happy
50,data/training/Actor_20/03-02-03-01-01-02-20_happy.wav,happy
51,data/training/Actor_20/20_01_02_01_kids-talking_happy.wav,happy
52,data/training/Actor_20/03-02-03-01-02-01-20_happy.wav,happy
53,data/training/Actor_20/20_01_02_01_dogs-sitting_happy.wav,happy
54,data/training/Actor_20/03-02-03-02-02-01-20_happy.wav,happy
55,data/training/Actor_20/20_01_02_02_dogs-sitting_happy.wav,happy
56,data/training/Actor_20/20_01_01_01_kids-talking_happy.wav,happy
57,data/training/Actor_20/03-02-03-01-02-02-20_happy.wav,happy
58,data/training/Actor_20/03-02-03-02-02-02-20_happy.wav,happy
59,data/training/Actor_20/20_01_01_02_kids-talking_happy.wav,happy
60,data/training/Actor_20/03-02-03-02-01-01-20_happy.wav,happy
61,data/training/Actor_20/20_01_01_02_dogs-sitting_happy.wav,happy
62,data/training/Actor_20/20_01_01_01_dogs-sitting_happy.wav,happy
63,data/training/Actor_20/03-02-03-01-01-01-20_happy.wav,happy
64,data/training/Actor_21/21_01_01_02_dogs-sitting_happy.wav,happy
65,data/training/Actor_21/03-02-03-01-02-01-21_happy.wav,happy
66,data/training/Actor_21/03-02-03-02-02-01-21_happy.wav,happy
67,data/training/Actor_21/21_01_01_01_dogs-sitting_happy.wav,happy
68,data/training/Actor_21/03-02-03-02-01-02-21_happy.wav,happy
69,data/training/Actor_21/21_01_01_01_kids-talking_happy.wav,happy
70,data/training/Actor_21/21_01_01_02_kids-talking_happy.wav,happy
71,data/training/Actor_21/03-02-03-01-01-02-21_happy.wav,happy
72,data/training/Actor_21/03-02-03-02-01-01-21_happy.wav,happy
73,data/training/Actor_21/21_01_02_01_dogs-sitting_happy.wav,happy
74,data/training/Actor_21/21_01_02_02_dogs-sitting_happy.wav,happy
75,data/training/Actor_21/03-02-03-01-01-01-21_happy.wav,happy
76,data/training/Actor_21/21_01_02_02_kids-talking_happy.wav,happy
77,data/training/Actor_21/03-02-03-01-02-02-21_happy.wav,happy
78,data/training/Actor_21/03-02-03-02-02-02-21_happy.wav,happy
79,data/training/Actor_21/21_01_02_01_kids-talking_happy.wav,happy
80,data/training/Actor_26/26_01_01_01_gas_happy.wav,happy
81,data/training/Actor_26/26_01_01_01_home_happy.wav,happy
82,data/training/Actor_26/26_01_01_01_road_happy.wav,happy
83,data/training/Actor_26/26_01_01_01_soup_happy.wav,happy
84,data/training/Actor_26/26_01_01_01_rat_happy.wav,happy
85,data/training/Actor_26/26_01_01_01_phone_happy.wav,happy
86,data/training/Actor_26/26_01_01_01_such_happy.wav,happy
87,data/training/Actor_26/26_01_01_01_shack_happy.wav,happy
88,data/training/Actor_26/26_01_01_01_sub_happy.wav,happy
89,data/training/Actor_26/26_01_01_01_should_happy.wav,happy
90,data/training/Actor_26/26_01_01_01_hit_happy.wav,happy
91,data/training/Actor_26/26_01_01_01_deep_happy.wav,happy
92,data/training/Actor_26/26_01_01_01_shawl_happy.wav,happy
93,data/training/Actor_26/26_01_01_01_search_happy.wav,happy
94,data/training/Actor_26/26_01_01_01_sail_happy.wav,happy
95,data/training/Actor_26/26_01_01_01_size_happy.wav,happy
96,data/training/Actor_26/26_01_01_01_wag_happy.wav,happy
97,data/training/Actor_26/26_01_01_01_lease_happy.wav,happy
98,data/training/Actor_26/26_01_01_01_juice_happy.wav,happy
99,data/training/Actor_26/26_01_01_01_tool_happy.wav,happy
100,data/training/Actor_26/26_01_01_01_shall_happy.wav,happy
101,data/training/Actor_26/26_01_01_01_pad_happy.wav,happy
102,data/training/Actor_26/26_01_01_01_hush_happy.wav,happy
103,data/training/Actor_26/26_01_01_01_yes_happy.wav,happy
104,data/training/Actor_26/26_01_01_01_hurl_happy.wav,happy
105,data/training/Actor_26/26_01_01_01_cab_happy.wav,happy
106,data/training/Actor_26/26_01_01_01_jail_happy.wav,happy
107,data/training/Actor_26/26_01_01_01_lean_happy.wav,happy
108,data/training/Actor_26/26_01_01_01_puff_happy.wav,happy
109,data/training/Actor_26/26_01_01_01_rag_happy.wav,happy
110,data/training/Actor_26/26_01_01_01_ton_happy.wav,happy
111,data/training/Actor_26/26_01_01_01_goose_happy.wav,happy
112,data/training/Actor_26/26_01_01_01_judge_happy.wav,happy
113,data/training/Actor_26/26_01_01_01_tire_happy.wav,happy
114,data/training/Actor_26/26_01_01_01_pass_happy.wav,happy
115,data/training/Actor_26/26_01_01_01_mob_happy.wav,happy
116,data/training/Actor_26/26_01_01_01_fall_happy.wav,happy
117,data/training/Actor_26/26_01_01_01_talk_happy.wav,happy
118,data/training/Actor_26/26_01_01_01_mess_happy.wav,happy
119,data/training/Actor_26/26_01_01_01_bite_happy.wav,happy
120,data/training/Actor_26/26_01_01_01_lot_happy.wav,happy
121,data/training/Actor_26/26_01_01_01_life_happy.wav,happy
122,data/training/Actor_26/26_01_01_01_third_happy.wav,happy
123,data/training/Actor_26/26_01_01_01_reach_happy.wav,happy
124,data/training/Actor_26/26_01_01_01_room_happy.wav,happy
125,data/training/Actor_26/26_01_01_01_join_happy.wav,happy
126,data/training/Actor_26/26_01_01_01_vote_happy.wav,happy
127,data/training/Actor_26/26_01_01_01_sure_happy.wav,happy
128,data/training/Actor_26/26_01_01_01_ripe_happy.wav,happy
129,data/training/Actor_26/26_01_01_01_note_happy.wav,happy
130,data/training/Actor_26/26_01_01_01_mop_happy.wav,happy
131,data/training/Actor_26/26_01_01_01_late_happy.wav,happy
132,data/training/Actor_26/26_01_01_01_nag_happy.wav,happy
133,data/training/Actor_26/26_01_01_01_neat_happy.wav,happy
134,data/training/Actor_26/26_01_01_01_pain_happy.wav,happy
135,data/training/Actor_26/26_01_01_01_soap_happy.wav,happy
136,data/training/Actor_26/26_01_01_01_chain_happy.wav,happy
137,data/training/Actor_26/26_01_01_01_boat_happy.wav,happy
138,data/training/Actor_26/26_01_01_01_check_happy.wav,happy
139,data/training/Actor_26/26_01_01_01_mode_happy.wav,happy
140,data/training/Actor_26/26_01_01_01_lore_happy.wav,happy
141,data/training/Actor_26/26_01_01_01_pearl_happy.wav,happy
142,data/training/Actor_26/26_01_01_01_haze_happy.wav,happy
143,data/training/Actor_26/26_01_01_01_mouse_happy.wav,happy
144,data/training/Actor_26/26_01_01_01_read_happy.wav,happy
145,data/training/Actor_26/26_01_01_01_seize_happy.wav,happy
146,data/training/Actor_26/26_01_01_01_bar_happy.wav,happy
147,data/training/Actor_26/26_01_01_01_lid_happy.wav,happy
148,data/training/Actor_26/26_01_01_01_red_happy.wav,happy
149,data/training/Actor_26/26_01_01_01_fail_happy.wav,happy
150,data/training/Actor_26/26_01_01_01_turn_happy.wav,happy
151,data/training/Actor_26/26_01_01_01_near_happy.wav,happy
152,data/training/Actor_26/26_01_01_01_numb_happy.wav,happy
153,data/training/Actor_26/26_01_01_01_pick_happy.wav,happy
154,data/training/Actor_26/26_01_01_01_rough_happy.wav,happy
155,data/training/Actor_26/26_01_01_01_whip_happy.wav,happy
156,data/training/Actor_26/26_01_01_01_peg_happy.wav,happy
157,data/training/Actor_26/26_01_01_01_which_happy.wav,happy
158,data/training/Actor_26/26_01_01_01_match_happy.wav,happy
159,data/training/Actor_26/26_01_01_01_thin_happy.wav,happy
160,data/training/Actor_26/26_01_01_01_knock_happy.wav,happy
161,data/training/Actor_26/26_01_01_01_voice_happy.wav,happy
162,data/training/Actor_26/26_01_01_01_merge_happy.wav,happy
163,data/training/Actor_26/26_01_01_01_pike_happy.wav,happy
164,data/training/Actor_26/26_01_01_01_week_happy.wav,happy
165,data/training/Actor_26/26_01_01_01_south_happy.wav,happy
166,data/training/Actor_26/26_01_01_01_half_happy.wav,happy
167,data/training/Actor_26/26_01_01_01_keep_happy.wav,happy
168,data/training/Actor_26/26_01_01_01_walk_happy.wav,happy
169,data/training/Actor_26/26_01_01_01_chief_happy.wav,happy
170,data/training/Actor_26/26_01_01_01_sour_happy.wav,happy
171,data/training/Actor_26/26_01_01_01_time_happy.wav,happy
172,data/training/Actor_26/26_01_01_01_met_happy.wav,happy
173,data/training/Actor_26/26_01_01_01_kill_happy.wav,happy
174,data/training/Actor_26/26_01_01_01_sheep_happy.wav,happy
175,data/training/Actor_26/26_01_01_01_wife_happy.wav,happy
176,data/training/Actor_26/26_01_01_01_hate_happy.wav,happy
177,data/training/Actor_26/26_01_01_01_good_happy.wav,happy
178,data/training/Actor_26/26_01_01_01_base_happy.wav,happy
179,data/training/Actor_26/26_01_01_01_bone_happy.wav,happy
180,data/training/Actor_26/26_01_01_01_moon_happy.wav,happy
181,data/training/Actor_26/26_01_01_01_nice_happy.wav,happy
182,data/training/Actor_26/26_01_01_01_door_happy.wav,happy
183,data/training/Actor_26/26_01_01_01_vine_happy.wav,happy
184,data/training/Actor_26/26_01_01_01_witch_happy.wav,happy
185,data/training/Actor_26/26_01_01_01_gun_happy.wav,happy
186,data/training/Actor_26/26_01_01_01_page_happy.wav,happy
187,data/training/Actor_26/26_01_01_01_bean_happy.wav,happy
188,data/training/Actor_26/26_01_01_01_shirt_happy.wav,happy
189,data/training/Actor_26/26_01_01_01_goal_happy.wav,happy
190,data/training/Actor_26/26_01_01_01_bought_happy.wav,happy
191,data/training/Actor_26/26_01_01_01_kick_happy.wav,happy
192,data/training/Actor_26/26_01_01_01_sell_happy.wav,happy
193,data/training/Actor_26/26_01_01_01_tell_happy.wav,happy
194,data/training/Actor_26/26_01_01_01_hole_happy.wav,happy
195,data/training/Actor_26/26_01_01_01_yearn_happy.wav,happy
196,data/training/Actor_26/26_01_01_01_shout_happy.wav,happy
197,data/training/Actor_26/26_01_01_01_long_happy.wav,happy
198,data/training/Actor_26/26_01_01_01_cool_happy.wav,happy
199,data/training/Actor_26/26_01_01_01_tough_happy.wav,happy
200,data/training/Actor_26/26_01_01_01_wheat_happy.wav,happy
201,data/training/Actor_26/26_01_01_01_cause_happy.wav,happy
202,data/training/Actor_26/26_01_01_01_germ_happy.wav,happy
203,data/training/Actor_26/26_01_01_01_loaf_happy.wav,happy
204,data/training/Actor_26/26_01_01_01_pole_happy.wav,happy
205,data/training/Actor_26/26_01_01_01_came_happy.wav,happy
206,data/training/Actor_26/26_01_01_01_chalk_happy.wav,happy
207,data/training/Actor_26/26_01_01_01_jug_happy.wav,happy
208,data/training/Actor_26/26_01_01_01_cheek_happy.wav,happy
209,data/training/Actor_26/26_01_01_01_food_happy.wav,happy
210,data/training/Actor_26/26_01_01_01_mill_happy.wav,happy
211,data/training/Actor_26/26_01_01_01_rain_happy.wav,happy
